Machine= 5,Job= 5,Task= 12,Ant= 50,
K, Best, Bad , Average
400,43.0,58.0,47.36,
401,43.0,54.0,46.78,
402,43.0,55.0,46.68,
403,43.0,52.0,46.56,
404,43.0,59.0,47.16,
405,43.0,57.0,47.7,
406,43.0,54.0,47.54,
407,43.0,57.0,47.04,
408,43.0,54.0,47.22,
409,43.0,55.0,47.0,
410,43.0,56.0,47.32,
411,43.0,56.0,47.18,
412,43.0,66.0,48.16,
413,43.0,53.0,47.08,
414,43.0,53.0,46.58,
415,43.0,54.0,47.38,
416,43.0,53.0,47.68,
417,43.0,58.0,48.34,
418,43.0,54.0,47.12,
419,43.0,57.0,47.5,
420,43.0,53.0,47.38,
421,43.0,54.0,47.32,
422,43.0,55.0,47.62,
423,43.0,56.0,47.42,
424,43.0,54.0,46.84,
425,43.0,55.0,47.02,
426,43.0,52.0,46.56,
427,43.0,53.0,46.74,
428,43.0,55.0,47.02,
429,43.0,57.0,47.28,
430,43.0,55.0,47.0,
431,43.0,59.0,47.14,
432,43.0,55.0,46.56,
433,43.0,59.0,46.7,
434,43.0,53.0,46.5,
435,43.0,53.0,46.2,
436,43.0,54.0,46.12,
437,43.0,53.0,46.42,
438,43.0,57.0,46.96,
439,43.0,54.0,46.72,
440,43.0,54.0,46.78,
441,43.0,57.0,46.8,
442,43.0,55.0,46.44,
443,43.0,54.0,46.78,
444,43.0,55.0,46.98,
445,43.0,56.0,46.8,
446,43.0,56.0,46.78,
447,43.0,55.0,46.88,
448,43.0,55.0,46.46,
449,43.0,52.0,46.44,
450,43.0,51.0,46.4,
451,43.0,57.0,46.98,
452,43.0,57.0,47.06,
453,43.0,55.0,46.88,
454,43.0,50.0,45.56,
455,43.0,51.0,45.94,
456,43.0,58.0,46.34,
457,43.0,55.0,47.38,
458,43.0,55.0,46.74,
459,43.0,55.0,47.36,
460,43.0,55.0,46.3,
461,43.0,56.0,46.52,
462,43.0,53.0,45.96,
463,43.0,57.0,46.22,
464,43.0,59.0,46.46,
465,43.0,51.0,46.16,
466,43.0,54.0,45.44,
