Machine = 5,Job = 5,Task = 12,Ant = 50,
Sedai , Best ,, Bad , Average 
354 , 38.0 , 50.0 , 41.8 , 
355 , 38.0 , 49.0 , 42.32 , 
356 , 38.0 , 50.0 , 42.3 , 
357 , 38.0 , 48.0 , 42.12 , 
358 , 39.0 , 50.0 , 42.26 , 
359 , 38.0 , 49.0 , 41.84 , 
360 , 38.0 , 55.0 , 42.24 , 
361 , 38.0 , 51.0 , 42.46 , 
362 , 38.0 , 47.0 , 41.7 , 
363 , 38.0 , 50.0 , 42.26 , 
364 , 38.0 , 50.0 , 42.5 , 
365 , 38.0 , 50.0 , 41.84 , 
366 , 38.0 , 50.0 , 41.68 , 
367 , 38.0 , 48.0 , 41.42 , 
368 , 38.0 , 52.0 , 41.76 , 
369 , 38.0 , 52.0 , 41.54 , 
370 , 38.0 , 52.0 , 42.4 , 
371 , 38.0 , 50.0 , 41.94 , 
372 , 38.0 , 52.0 , 41.74 , 
373 , 38.0 , 49.0 , 41.92 , 
374 , 38.0 , 49.0 , 42.22 , 
375 , 38.0 , 49.0 , 41.58 , 
376 , 38.0 , 48.0 , 41.74 , 
377 , 38.0 , 49.0 , 42.78 , 
378 , 38.0 , 51.0 , 41.92 , 
379 , 38.0 , 50.0 , 41.74 , 
380 , 38.0 , 49.0 , 41.88 , 
381 , 38.0 , 47.0 , 41.24 , 
382 , 38.0 , 46.0 , 41.16 , 
383 , 38.0 , 49.0 , 41.7 , 
384 , 38.0 , 48.0 , 41.64 , 
385 , 38.0 , 52.0 , 41.72 , 
386 , 38.0 , 50.0 , 42.3 , 
387 , 38.0 , 47.0 , 41.88 , 
388 , 38.0 , 49.0 , 41.8 , 
389 , 38.0 , 49.0 , 41.56 , 
390 , 38.0 , 46.0 , 41.32 , 
391 , 38.0 , 46.0 , 40.82 , 
392 , 38.0 , 48.0 , 41.4 , 
393 , 38.0 , 50.0 , 41.5 , 
394 , 38.0 , 48.0 , 42.2 , 
395 , 38.0 , 49.0 , 41.28 , 
396 , 38.0 , 52.0 , 41.66 , 
397 , 38.0 , 47.0 , 41.84 , 
398 , 38.0 , 46.0 , 41.62 , 
399 , 38.0 , 47.0 , 41.58 , 
400 , 39.0 , 53.0 , 42.46 , 
401 , 38.0 , 50.0 , 41.94 , 
402 , 38.0 , 50.0 , 41.48 , 
403 , 38.0 , 51.0 , 42.26 , 
404 , 38.0 , 50.0 , 42.32 , 
405 , 38.0 , 48.0 , 41.84 , 
406 , 38.0 , 52.0 , 41.96 , 
407 , 38.0 , 48.0 , 41.56 , 
408 , 38.0 , 49.0 , 41.96 , 
409 , 38.0 , 50.0 , 42.16 , 
410 , 38.0 , 49.0 , 41.94 , 
411 , 38.0 , 49.0 , 41.58 , 
412 , 38.0 , 52.0 , 42.0 , 
413 , 38.0 , 49.0 , 41.66 , 
414 , 38.0 , 50.0 , 41.26 , 
415 , 38.0 , 52.0 , 42.12 , 
416 , 38.0 , 56.0 , 42.32 , 
417 , 38.0 , 51.0 , 42.42 , 
418 , 38.0 , 46.0 , 41.6 , 
419 , 38.0 , 46.0 , 41.36 , 
420 , 38.0 , 49.0 , 41.64 , 
421 , 38.0 , 48.0 , 41.44 , 
422 , 38.0 , 49.0 , 42.26 , 
423 , 38.0 , 47.0 , 41.22 , 
424 , 38.0 , 47.0 , 40.92 , 
425 , 38.0 , 52.0 , 41.68 , 
426 , 38.0 , 49.0 , 41.52 , 
427 , 38.0 , 46.0 , 41.12 , 
428 , 38.0 , 46.0 , 40.8 , 
429 , 38.0 , 47.0 , 41.06 , 
430 , 38.0 , 47.0 , 41.76 , 
431 , 38.0 , 49.0 , 41.42 , 
432 , 38.0 , 45.0 , 40.66 , 
433 , 38.0 , 48.0 , 41.06 , 
434 , 38.0 , 47.0 , 40.92 , 
435 , 38.0 , 47.0 , 41.3 , 
436 , 38.0 , 46.0 , 41.04 , 
437 , 38.0 , 47.0 , 40.78 , 
438 , 38.0 , 49.0 , 41.12 , 
439 , 38.0 , 50.0 , 41.3 , 
440 , 38.0 , 48.0 , 41.08 , 
441 , 38.0 , 45.0 , 40.98 , 
442 , 38.0 , 50.0 , 40.84 , 
443 , 38.0 , 48.0 , 40.9 , 
444 , 38.0 , 46.0 , 41.18 , 
445 , 38.0 , 48.0 , 41.14 , 
446 , 38.0 , 47.0 , 40.86 , 
447 , 38.0 , 49.0 , 41.64 , 
448 , 38.0 , 47.0 , 40.64 , 
449 , 38.0 , 46.0 , 40.46 , 
450 , 38.0 , 48.0 , 40.66 , 
451 , 38.0 , 48.0 , 40.74 , 
452 , 38.0 , 48.0 , 41.52 , 
453 , 38.0 , 53.0 , 41.5 , 
454 , 38.0 , 49.0 , 41.0 , 
455 , 38.0 , 49.0 , 41.44 , 
456 , 38.0 , 50.0 , 41.38 , 
457 , 38.0 , 51.0 , 41.36 , 
458 , 38.0 , 47.0 , 40.82 , 
459 , 38.0 , 46.0 , 40.84 , 
460 , 38.0 , 47.0 , 41.1 , 
461 , 38.0 , 50.0 , 41.54 , 
462 , 38.0 , 50.0 , 41.84 , 
463 , 38.0 , 54.0 , 41.34 , 
464 , 38.0 , 46.0 , 40.74 , 
465 , 38.0 , 47.0 , 41.22 , 
466 , 38.0 , 50.0 , 41.26 , 
467 , 38.0 , 47.0 , 41.02 , 
468 , 38.0 , 46.0 , 41.18 , 
469 , 38.0 , 48.0 , 40.9 , 
470 , 38.0 , 48.0 , 40.98 , 
471 , 38.0 , 54.0 , 41.34 , 
472 , 38.0 , 47.0 , 40.98 , 
473 , 38.0 , 46.0 , 41.2 , 
474 , 38.0 , 49.0 , 41.54 , 
475 , 38.0 , 46.0 , 41.32 , 
476 , 38.0 , 49.0 , 41.6 , 
477 , 38.0 , 48.0 , 41.4 , 
478 , 38.0 , 45.0 , 41.2 , 
479 , 38.0 , 47.0 , 41.26 , 
480 , 38.0 , 52.0 , 42.28 , 
481 , 38.0 , 46.0 , 41.52 , 
482 , 38.0 , 48.0 , 40.96 , 
483 , 38.0 , 46.0 , 41.16 , 
484 , 38.0 , 47.0 , 41.26 , 
485 , 38.0 , 48.0 , 41.62 , 
486 , 38.0 , 47.0 , 41.2 , 
487 , 38.0 , 51.0 , 40.82 , 
488 , 38.0 , 47.0 , 41.08 , 
489 , 38.0 , 48.0 , 41.6 , 
490 , 38.0 , 49.0 , 41.44 , 
491 , 38.0 , 47.0 , 41.26 , 
492 , 38.0 , 47.0 , 40.84 , 
493 , 38.0 , 45.0 , 41.02 , 
494 , 38.0 , 49.0 , 41.02 , 
495 , 38.0 , 51.0 , 41.12 , 
496 , 38.0 , 46.0 , 40.92 , 
